episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,4000,False,4000,0,1,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-31-09,1579440669,317.916561126709,317.916561126709,2499,ip-172-31-1-212,172.31.1.212,317.916561126709,4000,1,3968,4000,46590.429,18451.754,36615.242,199100.235,45.707122507122506,26.960683760683757,0.02150997150997151,0.07810117608212179,0.20000000298023224,4.999999873689376e-05,-0.19526576,-0.19964115,8.3678236e-07,0.8428576,0.021872923,8.314626,0.0
-1.0,-1.0,-1.0,733.75,4,4000,False,8000,4,2,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-32-06,1579440726,57.189698457717896,375.1062595844269,2499,ip-172-31-1-212,172.31.1.212,375.1062595844269,8000,2,7936,8000,43178.621,9613.499,26588.929,99570.046,68.24230769230769,28.884615384615376,0.17057692307692307,0.19246569355825535,0.30000001192092896,4.999999873689376e-05,-0.08034496,-0.091583565,0.004025569,0.48726252,0.02404348,8.289774,0.0
1.0,-1.0,-0.2,743.1,6,4000,False,12000,10,3,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-33-03,1579440783,56.71480870246887,431.82106828689575,2499,ip-172-31-1-212,172.31.1.212,431.82106828689575,12000,3,11904,12000,41827.441,6651.063,23321.493,66391.733,67.15,28.801923076923075,0.12153846153846153,0.19246569355825535,0.44999998807907104,4.999999873689376e-05,-0.07771045,-0.09974017,0.013447325,0.22479816,0.019072013,8.27816,0.0
1.0,-1.0,-0.3333333333333333,776.3333333333334,2,4000,False,16000,12,4,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-34-00,1579440840,56.66166567802429,488.48273396492004,2499,ip-172-31-1-212,172.31.1.212,488.48273396492004,16000,4,15872,16000,41128.38,5177.173,21658.549,49802.621,63.24807692307692,29.03653846153846,0.12942307692307692,0.19246569355825535,0.44999998807907104,4.999999873689376e-05,-0.054584924,-0.06372291,0.0033227864,0.2642394,0.012922677,8.267395,0.0
1.0,-1.0,-0.3684210526315789,874.0,7,4000,False,20000,19,5,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-34-58,1579440898,57.635448694229126,546.1181826591492,2499,ip-172-31-1-212,172.31.1.212,546.1181826591492,20000,5,19840,20000,40939.219,4265.588,20677.921,39849.106,63.0566037735849,28.9622641509434,0.12547169811320755,0.19246569355825535,0.44999998807907104,4.999999873689376e-05,-0.06890178,-0.08918457,0.013545611,0.110611916,0.014971516,8.252244,0.0
1.0,-1.0,-0.3333333333333333,826.875,5,4000,False,24000,24,6,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-35-52,1579440952,53.856789350509644,599.9749720096588,2499,ip-172-31-1-212,172.31.1.212,599.9749720096588,24000,6,23808,24000,40170.981,3681.311,20011.437,33214.132,63.2469387755102,29.259183673469394,0.1838775510204082,0.1924656935582554,0.44999998807907104,4.999999873689376e-05,-0.069750205,-0.087816946,0.011574037,0.20650724,0.014428258,8.237241,0.0
1.0,-1.0,-0.42857142857142855,778.6785714285714,4,4000,False,28000,28,7,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-36-55,1579441015,62.927207469940186,662.902179479599,2499,ip-172-31-1-212,172.31.1.212,662.902179479599,28000,7,27776,28000,40944.617,3261.166,19512.857,28474.845,67.38103448275862,29.094827586206897,0.08155172413793102,0.19246569355825538,0.44999998807907104,4.999999873689376e-05,-0.07435509,-0.09105987,0.006996785,0.09863082,0.021573344,8.203423,0.0
1.0,-1.0,-0.41935483870967744,837.9354838709677,3,4000,False,32000,31,8,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-37-47,1579441067,51.77694821357727,714.6791276931763,2499,ip-172-31-1-212,172.31.1.212,714.6791276931763,32000,8,31744,32000,40127.401,2945.284,19143.811,24919.851,65.26170212765958,29.47872340425531,0.14893617021276595,0.19246569355825532,0.675000011920929,4.999999873689376e-05,-0.046777103,-0.057514913,0.0063830637,0.19124927,0.0064514787,8.195536,0.0
1.0,-1.0,-0.4,807.475,9,4000,False,36000,40,9,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-38-42,1579441122,55.196332931518555,769.8754606246948,2499,ip-172-31-1-212,172.31.1.212,769.8754606246948,36000,9,35712,36000,39873.283,2702.101,18852.292,22155.389,68.906,29.35,0.08199999999999999,0.19246569355825538,0.675000011920929,4.999999873689376e-05,-0.05162203,-0.08035557,0.01833289,0.005392911,0.01540836,8.190769,0.0
1.0,-1.0,-0.42857142857142855,827.1190476190476,2,4000,False,40000,42,10,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-39-41,1579441181,58.83046102523804,828.7059216499329,2499,ip-172-31-1-212,172.31.1.212,828.7059216499329,40000,10,39680,40000,40010.536,2509.595,18629.091,19954.579,66.79074074074073,29.4962962962963,0.12925925925925924,0.19246569355825535,0.675000011920929,4.999999873689376e-05,-0.037823226,-0.051239446,0.003801386,-0.029591063,0.014244201,8.178915,0.0
1.0,-1.0,-0.4418604651162791,818.4418604651163,1,4000,False,44000,43,11,f42ca682221b4d808197864cd0ea0364,2020-01-19_13-40-38,1579441238,56.674684047698975,885.3806056976318,2499,ip-172-31-1-212,172.31.1.212,885.3806056976318,44000,11,43648,44000,39270.571,725.114,16642.949,52.849,68.4346153846154,29.473076923076913,0.16307692307692306,0.19246569355825535,0.675000011920929,4.999999873689376e-05,-0.034712557,-0.04312066,0.0019813282,0.13297404,0.009521153,8.163716,0.0
